Item name,Qty,Price (USD),Item Link
GY-BME280-5V Barometric Pressure Sensor,1,$5,https://robotpishop.com/products/gy-bme280-5v-barometric-pressure-sensor?variant=40764315828357
YZC-131 Weighing Load Cell Sensor 1Kg,2,$8,https://robotpishop.com/products/yzc-131-weighing-load-cell-sensor-1kg?variant=41200591372421
HX711 Module,3,$7.50,https://robotpishop.com/products/hx711-module?variant=40764265726085
MPX10DP 1.45PSI Differential Integrated Pressure Sensor,1,$14.15,https://robotpishop.com/products/mpx10dp-1-45psi-differential-integrated-pressure-sensor?variant=40938654040197
Dupont Line Male to Male 10cm,1,$1,https://robotpishop.com/products/male-to-male-jumper-cable-10cm?variant=40764273393797
Dupont Line Female to Male 20cm,1,$1.25,https://robotpishop.com/products/female-to-male-jumper-cable-15cm?variant=40764273164421
Dupont Line Female to Female 20cm,1,$1.25,https://robotpishop.com/products/female-to-female-jumper-cable-15cm?variant=40764310814853
0.5mm Copper Wire OK Line 30AWG 230m,1,$5,https://robotpishop.com/products/0-5mm-copper-wire-ok-line-30awg-230m?variant=41040066773125
Tinned Copper Jumper Wire 1m,6,$0.90,https://robotpishop.com/products/tinned-copper-jumper-wire-1m?variant=40874987520133
Paper Straws 100PCS,10,$30.54,SHEIN
Humidifier (for smoke),1,$8.17,SHEIN
127 waterproof heat shrink tube sleeving,2,$3.27,SHEIN
4mm/1.2m silicon tube,2,$2.72,SHEIN
White light 20cm,2,$6.07,SHEIN
Multimeter,1,$5.72,
,,,
TOTAL PRICE   (ELECTRONICS ONLY),$101,,
,,,
Materials ,Price,,
